date,Eteläesplanadi,Kaivokatu,Kuusisaarentie,Merikannontie
2014-01-01,129,,,
2014-01-02,526,,,
2014-01-03,546,,,
2014-01-04,259,,,
2014-01-05,230,,,
2014-01-06,271,,,
2014-01-07,522,,,
2014-01-08,655,,,
2014-01-09,748,,,
2014-01-10,437,,,
2014-01-11,190,,,
2014-01-12,102,,,
2014-01-13,311,,,
2014-01-14,301,,,
2014-01-15,270,,,
2014-01-16,305,,,
2014-01-17,237,,,
2014-01-18,100,,,
2014-01-19,74,,,
2014-01-20,301,,,
2014-01-21,309,,,
2014-01-22,280,,,
2014-01-23,271,,,
2014-01-24,239,,,
2014-01-25,109,,,
2014-01-26,90,,,
2014-01-27,371,,,
2014-01-28,339,,,
2014-01-29,336,,,
2014-01-30,273,,,
2014-01-31,267,,,
2014-02-01,72,,,
2014-02-02,78,,,
2014-02-03,250,,,
2014-02-04,266,,,
2014-02-05,278,,,
2014-02-06,295,,,
2014-02-07,276,,,
2014-02-08,125,,,
2014-02-09,97,,,
2014-02-10,388,,,
2014-02-11,296,,,
2014-02-12,337,,,
2014-02-13,358,,,
2014-02-14,366,,,
2014-02-15,163,,,
2014-02-16,118,,,
2014-02-17,337,,,
2014-02-18,399,,,
2014-02-19,401,,,
2014-02-20,330,,,
2014-02-21,310,,,
2014-02-22,161,,,
2014-02-23,128,,,
2014-02-24,526,,,
2014-02-25,642,,,
2014-02-26,576,,,
2014-02-27,608,,,
2014-02-28,528,,,
2014-03-01,282,,,
2014-03-02,181,,,
2014-03-03,403,,,
2014-03-04,646,,,
2014-03-05,660,,,
2014-03-06,714,,,
2014-03-07,617,,,
2014-03-08,353,,,
2014-03-09,280,,,
2014-03-10,827,,,
2014-03-11,951,,,
2014-03-12,972,,,
2014-03-13,1026,,,
2014-03-14,850,,,
2014-03-15,112,,,
2014-03-16,124,,,
2014-03-17,568,,,
2014-03-18,604,,,
2014-03-19,606,,,
2014-03-20,540,,,
2014-03-21,453,,,
2014-03-22,596,,,
2014-03-23,280,,,
2014-03-24,899,,,
2014-03-25,984,,,
2014-03-26,1046,,,
2014-03-27,1030,,,
2014-03-28,1018,,,
2014-03-29,606,,,
2014-03-30,513,,,
2014-03-31,1090,,,
2014-04-01,1152,,,
2014-04-02,1116,,,
2014-04-03,1072,,,
2014-04-04,1048,,,
2014-04-05,642,,,
2014-04-06,245,,,
2014-04-07,1096,,,
2014-04-08,1389,,,
2014-04-09,1327,,,
2014-04-10,1358,,,
2014-04-11,966,,,
2014-04-12,532,,,
2014-04-13,416,,,
2014-04-14,1297,,,
2014-04-15,1452,,,
2014-04-16,1500,,,
2014-04-17,1218,,,
2014-04-18,513,,,
2014-04-19,654,,,
2014-04-20,612,,,
2014-04-21,733,,,
2014-04-22,2028,,,
2014-04-23,1901,,,
2014-04-24,1984,,,
2014-04-25,1902,,,
2014-04-26,1099,,,
2014-04-27,1069,,,
2014-04-28,2195,,,
