"sex","location","purchases","retention_time"
"female","Helsinki",7,57.1
"female","Helsinki",5,NA
"female","Turku",8,50.6
"male","Helsinki",5,31.7
"female","Helsinki",2,120
"male","Helsinki",2,NA
"female","Helsinki",2,122.2
"male","Turku",NA,87.9
"male","Turku",3,0.5
"female","Helsinki",5,101.1
"male","Helsinki",NA,34.1
"male","Tampere",7,54.5
"male","Helsinki",9,0.5
"male","Turku",5,61.2
"male","Turku",4,7
"male","Helsinki",6,NA
"female","Helsinki",6,59.4
"male","Helsinki",6,20.2
"male","Turku",4,NA
"female","Turku",5,8.9
"female","Helsinki",3,6.5
"female","Turku",8,43.7
"male","Helsinki",1,55.6
"male","Helsinki",4,21.4
"male","Turku",10,6
"male","Helsinki",2,14.7
"male","Turku",6,52
"female","Turku",4,56
"male","Turku",5,21.4
"male","Turku",4,17.7
"female","Tampere",6,2.3
"male","Turku",3,NA
"male","Turku",5,6.4
"female","Turku",5,51.3
"female","Helsinki",6,87
"female","Turku",5,NA
"female","Helsinki",3,47.4
"male","Tampere",8,23.6
"male","Helsinki",7,45.5
"male","Helsinki",9,1.2
"male","Helsinki",4,15.3
"male","Turku",5,12.8
"male","Helsinki",8,36.7
"female","33100",1,66
"female","33100",3,12.2
"female","33100",5,39.9
"male","Helsinki",9,71.8
"female","Tampere",6,36.6
"female","Tampere",7,11.7
"male","Turku",2,NA
"female","Turku",2,81.1
"female","Turku",4,16.6
"male","Helsinki",7,32.9
"female","Helsinki",8,97.6
"female","Helsinki",8,9.8
"male","Helsinki",2,123.8
"female","Turku",8,31.6
"male","Turku",NA,75.1
"female","Helsinki",8,6.6
"male","Helsinki",3,-14.9
"nale","Turku",0,106.1
"male","Tampere",4,39.7
"male","Turku",5,74.5
"male","Turku",6,14.5
"female","Helsinki",1,20.5
"male","Helsinki",8,88.3
"female","Helsinki",7,NA
"male","Helsinki",4,NA
"male","Helsinki",2,219.3
"female","Helsinki",7,199.9
"female","Tampere",2,7.9
"female","Helsinki",5,60.8
"male","Helsinki",7,16.7
"male","Tampere",6,90.3
"female","Helsinki",1,86.7
"male","Helsinki",9,7.2
"female","Helsinki",10,58.7
"male","Helsinki",1,144.6
"male","Turku",6,1.9
"female","Helsinki",7,179.6
"female","Tampere",6,9.4
"female","Helsinki",6,30.5
"male","Turku",4,30.1
"male","Tampere",13,0.5
"female","Helsinki",3,NA
"female","Helsinki",6,44.4
"female","20100",9,95
"male","Turku",3,64.1
"male","Turku",NA,17.8
"male","Tampere",4,113.7
"female","33100",8,140.9
"male","Turku",2,16.1
"female","Tampere",NA,101.5
"female","33100",5,3.5
"female","Helsinki",7,32
"male","Helsinki",5,86.3
"female","Turku",1,50.2
"male","Turku",5,100
"male","Helsinki",2,4.9
"male","Turku",4,42.9
"male","Tampere",4,96.4
"female","Helsinki",3,88.9
"male","Helsinki",2,71
"female","Turku",4,NA
"male","Helsinki",5,75.5
"female","Turku",12,101.5
"male","Turku",7,99.1
"male","Turku",4,104
"male","Tampere",4,40.3
"female","Turku",3,47.6
"male","Turku",9,19.4
"male","Helsinki",4,NA
"male","Helsinki",5,78.1
"male","Helsinki",6,13.9
"male","Helsinki",4,NA
"male","Helsinki",7,28.1
"male","Helsinki",3,10.8
"male","Tampere",2,1.9
"female","Turku",7,0.3
"male","20100",7,87.6
"male","Helsinki",3,26.1
"male","Helsinki",5,13.8
"female","Turku",2,19.8
"male","Helsinki",6,135.4
"male","Turku",3,9.9
"female","Tampere",8,96.1
"male","Turku",1,3.4
"female","Turku",3,140.1
"female","Turku",7,10.6
"male","33100",6,49.7
"male","Turku",5,117.2
"female","33100",3,64.5
"male","Turku",3,13
"male","33100",NA,93.6
"female","Helsinki",5,103.5
"female","Turku",4,NA
"male","Tampere",3,NA
"female","Helsinki",4,56.9
"female","Tampere",5,11.2
"male","Helsinki",NA,NA
"male","Tampere",5,56.3
"female","Turku",NA,63.2
"male","Tampere",4,NA
"male","Tampere",3,1.9
"female","Turku",6,18.8
"male","Tampere",3,237.8
"female","Helsinki",8,3.2
"male","Helsinki",7,13.6
"male","Turku",5,25.3
"male","Helsinki",1,14.6
"male","Turku",7,81.1
"female","Helsinki",6,17.7
"female","Helsinki",6,14.6
"male","Turku",5,28.1
"male","Helsinki",6,55.3
"male","20100",1,NA
"female","Helsinki",NA,9.2
"female","Helsinki",4,8.8
"male","Helsinki",5,3.8
"female","Helsinki",5,67.9
"female","Turku",7,8
"male","Helsinki",5,17.1
"male","Turku",8,133.2
"male","Helsinki",7,51.7
"male","Helsinki",10,9.1
"male","Turku",5,4.3
"female","Turku",5,143.1
"male","Helsinki",3,55.9
"male","Helsinki",4,NA
"male","Turku",2,14.7
"male","Turku",4,26.1
"female","Turku",2,72.4
"female","Tampere",9,8.3
"female","Helsinki",3,22.3
"female","Helsinki",4,11.1
"female","Tampere",8,68.1
"female","Helsinki",8,NA
"female","Turku",2,NA
"female","Helsinki",5,21.1
"female","Turku",3,19.7
"male","Turku",8,9.2
"male","Turku",3,16.7
"male","Helsinki",6,26.4
"female","Tampere",4,72
"male","Helsinki",5,32.7
"female","Tampere",3,7.6
"male","Helsinki",7,0.9
"female","Helsinki",3,114.9
"male","Turku",4,12.1
"female","Turku",9,25.1
"male","Turku",7,67.8
"female","Turku",5,21.8
"male","Helsinki",4,NA
"female","Tampere",6,16.8
"female","Helsinki",5,NA
"male","Turku",3,40.5
"male","Helsinki",3,36.9
"female","Helsinki",6,59.2
"male","Helsinki",5,31.8
"female","Helsinki",6,181.9
