ticket,cost,month,location_from,location_to,duration,distance,assistance,energy_used,energy_collected
season,0.0,7,TEATTERI,TEATTERI,3,0,0,0.0,0.0
single,0.35,7,TORI,TEATTERI,416,820,1,7.5,0.6
season,0.0,8,TORI,SATAMA,721,1230,0,0.0,2.1
single,0.25,5,TEATTERI,TORI,261,720,0,0.0,1.2
season,0.0,5,TEATTERI,TORI,382,710,1,3.3,0.9
season,0.0,8,MICROTEKNIA,TEATTERI,960,2670,1,21.5,6.3
season,0.0,6,RYPYSUO,KYS,589,3130,1,25.9,11.4
season,0.0,5,SATAMA,TORI,1276,4870,1,50.3,8.4
season,0.0,8,SATAMA,SATAMA,72,0,1,0.0,0.0
season,0.0,9,TEATTERI,VÄINÖLÄNNIEMI,1090,5010,1,44.0,8.1
season,0.0,10,KYS,RYPYSUO,654,3320,1,31.1,2.4
season,0.0,6,RYPYSUO,RYPYSUO,135,0,1,0.0,0.0
season,0.0,5,TORI,MICROTEKNIA,601,3130,1,20.5,4.8
savonia,0.0,9,SNELLMANIA,SNELLMANIA,64,0,1,0.0,0.0
single,1.1,5,TORI,TORI,1260,2590,0,0.0,6.3
savonia,0.0,9,MICROTEKNIA,MICROTEKNIA,61,0,1,0.0,0.0
single,0.15,9,TORI,TORI,160,740,1,5.1,1.2
single,0.4,5,SNELLMANIA,TEATTERI,453,1990,1,17.1,2.1
savonia,0.0,10,UIMAHALLI,TORI,300,930,1,7.3,3.6
season,0.0,5,RYPYSUO,TORI,1194,5140,0,0.0,9.6
savonia,0.0,10,KYS,TORI,566,1870,1,13.8,6.6
single,2.7,6,SATAMA,VÄINÖLÄNNIEMI,3222,3070,1,18.3,5.7
season,0.0,9,UIMAHALLI,UIMAHALLI,546,0,1,0.0,0.0
savonia,0.0,10,SNELLMANIA,SNELLMANIA,90,0,0,0.0,0.0
season,0.0,6,TORI,TORI,60,60,1,0.0,0.0
single,0.15,4,TEATTERI,TORI,173,700,1,2.3,0.0
savonia,0.0,9,TORI,MICROTEKNIA,739,3290,1,29.8,11.1
savonia,0.0,10,SATAMA,SATAMA,83,60,1,0.4,0.0
single,0.35,10,TORI,TORI,385,1480,1,7.3,7.2
season,0.0,7,TORI,TEATTERI,468,750,1,0.0,0.0
single,0.65,6,TORI,MICROTEKNIA,723,3060,1,19.3,14.4
season,0.0,7,VÄINÖLÄNNIEMI,TORI,442,1600,1,14.8,0.9
single,0.25,5,TORI,SATAMA,243,960,1,4.1,7.8
single,0.55,10,MICROTEKNIA,TORI,649,3030,1,21.0,8.4
season,0.0,7,SNELLMANIA,TORI,1287,3340,1,26.6,7.8
single,0.2,5,TORI,SATAMA,230,910,1,3.1,5.1
season,0.0,10,TORI,TORI,1534,4460,1,45.4,13.2
single,0.75,4,RYPYSUO,TORI,886,4260,1,30.1,7.5
single,0.05,7,SATAMA,SATAMA,13,0,0,0.0,0.0
season,0.0,5,SATAMA,SATAMA,1666,0,1,0.0,0.0
single,0.15,5,UIMAHALLI,UIMAHALLI,157,0,1,0.0,0.0
season,0.0,10,TORI,TORI,65,80,0,0.0,0.0
season,0.0,8,TORI,VÄINÖLÄNNIEMI,370,1610,1,9.2,0.0
savonia,0.0,9,MICROTEKNIA,MICROTEKNIA,361,1460,1,4.4,3.6
season,0.0,8,PETONEN,TORI,1531,8710,1,60.5,2.7
season,0.0,8,VÄINÖLÄNNIEMI,UIMAHALLI,689,2640,1,29.5,5.4
season,0.0,8,TORI,TORI,587,990,1,9.3,2.7
single,0.45,9,KYS,TORI,489,1850,0,0.0,5.1
single,0.2,7,TORI,SATAMA,222,950,1,4.3,8.1
season,0.0,8,TORI,VÄINÖLÄNNIEMI,429,1540,1,9.0,9.9
single,0.45,5,TORI,SNELLMANIA,529,2610,1,11.0,4.8
season,0.0,10,SATAMA,TORI,321,930,1,14.3,0.3
season,0.0,7,TORI,TORI,108,0,1,0.0,0.0
single,0.05,6,TORI,TORI,6,0,0,0.0,0.0
season,0.0,5,TORI,TORI,41,0,1,0.0,0.0
single,0.4,6,VÄINÖLÄNNIEMI,TORI,421,1570,1,16.0,0.6
savonia,0.0,9,TORI,TORI,96,150,1,0.9,0.0
