"","F","G","H","I"
"1",27.42,24.02,0,9.96
"2",-11.29,20.9,4.67,5.66
"3",7.26,-20.06,6.34,15.53
"4",12.66,36.97,8.12,6.08
"5",8.09,-13.34,1.25,10.31
"6",-2.12,2.11,1.7,9.56
"7",30.23,-8.45,2.59,15.38
"8",-1.89,-2.45,1.89,3.28
"9",40.37,3.76,2.71,8.84
"10",-1.25,2.38,3.63,10.47
"11",26.1,-0.5,1.6,9.54
"12",45.73,2.16,8.07,10.49
"13",-27.78,-9.71,4.22,13.7
"14",-5.58,-10.08,3.83,7.04
"15",-2.67,-33.22,4.99,16.79
"16",12.72,-7.65,4.07,18.44
"17",-5.69,-10.25,3.74,2.13
"18",-53.13,54.04,6.95,4.13
"19",-48.81,-27.24,3.57,9.73
"20",26.4,2.75,1.43,6.48
"21",-6.13,-29.87,4.77,9.43
"22",-35.63,-29.41,3.3,11.72
"23",-3.44,2.49,2.96,4.48
"24",24.29,-19.93,1.86,14.68
"25",37.9,-0.04,4.86,3.01
"26",-8.61,-8.57,3.65,13.95
"27",-5.15,-12.27,5.03,5.28
"28",-35.26,-40.49,3.53,8.53
"29",9.2,-24.49,2.68,14.43
"30",-12.8,3.59,6.5,9.49
"31",9.11,11.35,3.46,6.77
"32",14.1,-9.86,5.9,4.81
"33",20.7,0,1.6,4.33
"34",-12.18,22.46,3.07,4.84
"35",10.1,28.8,3.46,11.3
"36",-34.34,-21.94,3.22,14.25
"37",-15.69,-2.35,6.7,2.16
"38",-17.02,24.03,3.95,10.38
"39",-48.28,-9.39,4.49,17.04
"40",0.72,-1.05,2.12,14.29
"41",4.12,-1.72,2.54,6.28
"42",-7.22,-17.75,6,2.32
"43",15.16,-8.89,6.52,11.5
"44",-14.53,-0.59,6.5,16.63
"45",-27.37,-8.28,1.24,10.41
"46",8.66,22.27,8.1,13.88
"47",-16.23,-9.62,6.03,10
"48",28.88,-8.66,3.95,7.08
"49",-8.63,13.94,5.41,19.3
"50",13.11,-21.13,2.06,18.45
"51",6.44,-0.81,1.81,4.09
"52",-15.68,-31.03,4.1,19.1
"53",31.51,23.34,1.6,17.48
"54",12.86,-5.47,4.38,13.95
"55",1.8,-9.36,6.6,10.25
"56",5.53,-24.77,1.93,9.62
"57",13.59,-0.16,2.52,4.04
"58",1.8,-16.01,4.09,2
"59",-59.86,-10.67,1.96,9.45
"60",5.7,25.75,3.23,6.24
"61",-7.34,-3.51,5.75,15.45
"62",3.7,-21.44,5.94,18.02
"63",11.64,3.26,4.77,6.7
"64",27.99,-7.25,0.3,16.48
"65",-14.55,11.8,3.89,4.4
"66",26.05,28.65,6.13,15.32
"67",6.72,-19.85,5.63,11.21
"68",20.77,9.09,3.62,8.47
"69",18.41,1.7,-1.4,16.77
"70",14.42,17.91,4.12,5.75
"71",-20.86,-4.6,5.15,9.41
"72",-1.8,16.73,4.09,15.62
"73",12.47,-34.9,4.31,1.65
"74",-19.07,33.79,4.86,7.89
"75",-10.86,17.3,3.21,1.91
"76",11.62,-3.02,6.62,2.67
"77",15.36,-28.98,4.94,4.42
"78",9.28,12.86,1.51,5.48
"79",-17.72,9.66,6.76,5.98
"80",-22,-0.13,6.41,7.5
"81",30.25,3.03,5.65,9.83
"82",5.16,-11.68,0.67,17.57
"83",1.77,7.38,2.86,14.97
"84",-2.42,5.89,5.27,19.1
"85",-23.89,-5.59,4.09,6.64
"86",12.24,-26.72,4.7,16.48
"87",-4.34,14.01,8.92,2.65
"88",-3.66,11.08,2.36,2.49
"89",18.67,-16.73,-0.23,14.56
"90",16.44,-31.89,4.55,10.97
"91",27.84,4.1,2.62,12.17
"92",-9.52,-6.9,4.89,2.46
"93",13.01,5.05,2.38,17.53
"94",27.82,-25.88,8.42,16.85
"95",-22.22,-19.18,3.75,0.92
"96",-17.22,21.72,3.05,14.14
"97",-22.63,8.08,3.67,10.7
"98",-29.18,11.73,5.73,18.91
"99",1.6,36.3,4.19,18.24
"100",13.06,2.58,0.75,9.12
